variant,N,m,k,w_r,w_m,L,rho,dE_mass,dE_impl,y,y_theory,w_eff,dE_mass_form,dE_impl_form,sign_agree
ii_uniform,8,1.0,136258.41381159224,1.0,2.0,0.13625841381159223,0.06812920690579612,-0.23296769827355096,-0.2643173568826273,-0.9318707930942038,-0.9318707930942038,1.891665405166827,-0.23296769827355096,-0.2643173568826273,True
ii_uniform,8,1.0,200000.00000000003,1.0,2.0,0.2,0.1,-0.22499999999999998,-0.26967233145832176,-0.8999999999999999,-0.9,1.8541019662496434,-0.22499999999999998,-0.26967233145832176,True
ii_uniform,8,1.0,293559.85352441383,1.0,2.0,0.2935598535244138,0.1467799267622069,-0.21330501830944826,-0.27651285219552746,-0.853220073237793,-0.853220073237793,1.8082342141783723,-0.21330501830944826,-0.27651285219552746,True
ii_uniform,8,1.0,430886.9380063767,1.0,2.0,0.4308869380063767,0.21544346900318834,-0.19613913274920292,-0.28496091797751766,-0.7845565309968117,-0.7845565309968117,1.7546265766853266,-0.19613913274920292,-0.2849609179775177,True
ii_uniform,8,1.0,632455.5320336759,1.0,2.0,0.6324555320336759,0.31622776601683794,-0.1709430584957905,-0.29503081344601684,-0.683772233983162,-0.683772233983162,1.6947382348301305,-0.1709430584957905,-0.2950308134460168,True
ii_uniform,8,1.0,928317.7667225555,1.0,2.0,0.9283177667225555,0.46415888336127775,-0.13396027915968056,-0.3066140861674014,-0.5358411166387222,-0.5358411166387222,1.6307143818794296,-0.13396027915968056,-0.3066140861674013,True
ii_uniform,8,1.0,1362584.1381159222,1.0,2.0,1.362584138115922,0.681292069057961,-0.07967698273550972,-0.31948675250005154,-0.31870793094203886,-0.318707930942039,1.5650101172815276,-0.07967698273550972,-0.3194867525000515,True
ii_uniform,8,1.0,2000000.0,1.0,2.0,2.0,1.0,0.0,-0.33333587646484375,0.0,0.0,1.499988555995514,0.0,-0.33333587646484375,band
ii_uniform,8,1.0,2935598.535244138,1.0,2.0,2.935598535244138,1.467799267622069,0.1169498169055172,-0.3478014026581909,0.4677992676220688,0.467799267622069,1.4376020228169852,0.1169498169055172,-0.3478014026581909,True
ii_uniform,8,1.0,4308869.380063764,1.0,2.0,4.308869380063763,2.1544346900318816,0.2886086725079705,-0.36253218033612566,1.154434690031882,1.1544346900318816,1.3791879097089244,0.2886086725079704,-0.36253218033612566,True
ii_uniform,8,1.0,6324555.320336759,1.0,2.0,6.324555320336759,3.1622776601683795,0.540569415042095,-0.37725023559821674,2.16227766016838,2.1622776601683795,1.3253802193314348,0.540569415042095,-0.37725023559821674,True
ii_uniform,8,1.0,9283177.667225555,1.0,2.0,9.283177667225555,4.6415888336127775,0.9103972084031944,-0.39179563978495047,3.6415888336127775,3.6415888336127775,1.2761755089322613,0.9103972084031944,-0.3917956397849504,True
ii_uniform,8,1.0,13625841.381159216,1.0,2.0,13.625841381159216,6.812920690579608,1.4532301726449022,-0.40610879729645055,5.812920690579609,5.812920690579608,1.2311971652143523,1.453230172644902,-0.4061087972964506,True
ii_uniform,8,1.0,20000000.0,1.0,2.0,20.0,10.0,2.25,-0.4201362735004137,9.0,9.0,1.1900900530063556,2.25,-0.42013627350041366,True
ii_uniform,8,1.0,29355985.35244138,1.0,2.0,29.35598535244138,14.67799267622069,3.419498169055173,-0.43371233839469925,13.677992676220692,13.67799267622069,1.1528378506607662,3.4194981690551725,-0.43371233839469925,True
ii_uniform,8,1.0,43088693.80063765,1.0,2.0,43.08869380063764,21.54434690031882,5.136086725079706,-0.4465076748989517,20.544346900318825,20.54434690031882,1.1198015803718357,5.136086725079705,-0.44650767489895177,True
ii_uniform,8,1.0,63245553.20336759,1.0,2.0,63.245553203367585,31.622776601683793,7.655694150420949,-0.45809770269276034,30.622776601683796,30.622776601683793,1.091470219258757,7.655694150420949,-0.45809770269276023,True
ii_uniform,8,1.0,92831776.67225555,1.0,2.0,92.83177667225554,46.41588833612777,11.353972084031945,-0.4681098346236789,45.41588833612778,45.41588833612777,1.0681253907044232,11.353972084031943,-0.46810983462367894,True
ii_uniform,8,1.0,136258413.81159216,1.0,2.0,136.25841381159216,68.12920690579608,16.78230172644902,-0.47634982270673365,67.12920690579608,67.12920690579608,1.0496487584667933,16.78230172644902,-0.47634982270673354,True
ii_uniform,8,1.0,200000000.0,1.0,2.0,200.0,100.0,24.75,-0.4828375664271803,99.0,99.0,1.035544942577305,24.75,-0.4828375664271802,True
ii_uniform,8,10.0,1099999.9999999998,1.0,1.1,0.011,0.009999999999999998,-0.45,-0.4583333333333333,-0.9900000000000001,-0.99,1.0909090909090908,-0.45,-0.45833333333333337,True
ii_uniform,8,10.0,1614579.1943842766,1.0,1.1,0.016145791943842767,0.014677992676220697,-0.44787363969262695,-0.4597245110579939,-0.9853220073237794,-0.9853220073237793,1.087607878138404,-0.4478736396926269,-0.4597245110579939,True
