cell,n_modes,kappa,h,v,w_r,dE_full,inject_full,dE_diag,inject_diag,dE_block2,inject_block2,dE_rank1,inject_rank1
476,8,2.0,0.0017405057732249873,-0.2514861308865858,0.6616739683096942,-0.04747078260876841,0,-0.04771150620773462,0,-0.04771872582784576,0,-0.04771055722201033,0
477,4,1.0,0.018110731776794647,-0.023060378801038697,9.607973356874863,-2.7673379259853175e-05,0,-2.767388501988446e-05,0,-2.767347586474567e-05,0,-2.7673943411664975e-05,0
478,4,2.0,0.01051845268125954,-0.08123953474113235,0.5351943324697774,-0.0004027195703158685,0,-0.002484400272904661,0,-0.0018995346430552796,0,-0.005071519389629507,0
479,8,2.0,0.00041113033983815886,-2.8903278101916725,2.6500025360815407,-1.5493239918244426,0,-1.5680546549558838,0,-1.5677807875713727,0,-1.5694523752177352,0
480,5,1.0,0.002473252701839591,-0.013304715157824583,0.03557343937079975,-9.144320405932681e-07,0,-6.375810939784378e-07,0,-6.103149248473314e-07,0,-1.3573821490602336e-06,0
481,8,2.0,0.014897745584144589,-0.059636006138005876,0.030220487231800652,-0.0020864808434474386,0,-0.03160102412255331,0,-0.013661520059606358,0,-0.039862536389070655,0
482,6,2.0,0.000744072291203939,-0.3714032973378024,0.0011325107219736796,-1.1993065435495396,0,-6.4483363903149495,0,-1.4036256312393434,0,-6.465573345047929,0
483,2,2.0,0.005082353959638708,-0.07839564777174017,0.947755365106879,-0.002956125059101206,0,-0.00312765902111427,0,-0.002956125059101206,0,-0.0028020607681383263,0
484,4,1.0,0.000533201271014099,-6.8704591458647855,1.0422522976532091,-0.28860054185813055,0,-0.24322360791813225,0,-0.24330243992130818,0,-0.34742771675507456,0
485,6,1.0,0.013678956698256462,-1.217314065178574,2.884310327288955,-0.13506738549552774,0,-0.2400595910684778,0,-0.2394698247813032,0,-0.24790677137032885,0
486,3,1.0,0.01193634903352618,-0.2884105851267212,2.9665961831324634,-0.013992509910358967,0,-0.01400458991516418,0,-0.014005210614473192,0,-0.0140137262482144,0
487,6,2.0,0.008383136785315647,-3.5658960035457863,1.3549831141082185,-1.727418731399733,0,-1.4996034704580978,0,-1.3839928688686864,0,-2.6750110475050533,0
488,2,2.0,0.027154912438206842,-0.0638459428440478,0.059642786617002314,-0.03415265001403358,0,-0.03411038244278615,0,-0.03415265001403358,0,-0.03411031632189633,0
489,4,2.0,0.015805329763112132,-0.016444251243505913,0.03199908390521958,-0.0001604610521000584,0,-0.00016174960754886548,0,-0.00014256902490267578,0,-0.00016278502817503818,0
490,4,2.0,0.0009391228989865415,-0.2894723345747112,2.4294011834921054,-0.01669967145053553,0,-0.01663405819302277,0,-0.016564979837005677,0,-0.017107227921908486,0
491,8,2.0,0.0019646002779072744,-0.030538900099674856,0.268658459160214,-0.00014601165558107893,0,-0.0016073482592241866,0,-0.00016727066781375977,0,-0.0017221720863573957,0
492,3,1.0,0.029276260396139044,-0.026654091182941705,0.0224933145369506,-0.003945396054212296,0,-0.002347515655122149,0,-0.0023524735195167793,0,-0.005490849536430403,0
493,8,2.0,0.009153005120730268,-0.04073188947782517,0.022864882115463947,-0.0001568544706618616,0,-0.00033393247781046687,0,-0.0003117701785686003,0,-0.0004882708479740164,0
494,6,2.0,0.0004876060573355555,-0.16748383260330846,0.011314498867320439,-0.0419107477988272,0,-0.0348668903185998,0,-0.03591047242276524,0,-0.05460429371682585,0
495,6,2.0,0.01620079147713289,-0.3475612774165135,0.018678162706908197,-0.6619851800466883,0,-1.8918100128898832,0,-1.0385647435329868,0,-2.5612298766219825,0
496,3,1.0,0.003918730618746487,-3.0547211513547934,3.8378200773662536,-0.014253116252117115,0,-0.04841517399249207,0,-0.017859508956088677,0,-0.05468461287946802,0
497,4,2.0,0.004058644975658897,-0.12706706506848042,0.03725013047449866,-0.14654673175218247,0,-0.15729509131877983,0,-0.1603409848761439,0,-0.17521854106139462,0
498,8,2.0,0.0011551630628561598,-0.0445067806178079,5.442428541948766,-0.00011810368485484486,0,-0.00011003810176292462,0,-0.00010070047505331953,0,-0.00011223027058140085,0
499,5,1.0,0.0022828658193893773,-0.07420111633030331,0.08520774481261179,-0.011182192751595713,0,-0.024501002848315856,0,-0.01951546699265434,0,-0.027604621071251768,0
500,8,2.0,0.002118652240662327,-0.014490887772829803,0.7975375331568838,-2.331353933411525e-06,0,1.297578965149494e-05,1,-1.0327770979645223e-05,0,-7.091452994643136e-05,0
501,7,1.0,0.0017426939365786408,-0.0793853548050057,0.01080551001358853,-0.0032382416088044264,0,-0.0063104760645812386,0,-0.0064833714415556964,0,-0.0071159818811587505,0
502,5,2.0,0.002028925435420948,-0.05587598668173601,0.010334925260425868,-0.00012464067496842368,0,-0.0005099954334938372,0,-0.0005044310850282896,0,-0.000520135252849413,0
503,8,1.0,0.0003923378245308495,-3.247131521566724,0.29419266781168146,-0.4425042044208354,0,-0.4167732738207093,0,-0.49580830114381413,0,-0.5419829919166048,0
504,3,2.0,0.005745854313854658,-0.324208504414892,0.0012160402042603524,-4.6662672923323,0,-5.149222922951189,0,-5.13821542642664,0,-5.163754052295332,0
