M,m,b,order,n,E_plus,dE,D_modal,lam_c,lam_s,Cc,n_conv,converged_flag
1.0,0.01,1.0,A,32,0.49019607843137236,-0.009803921568627638,0.009611687809124594,1.9607843133934533e-05,9.803921566967268e-06,-1.6933850155442798e-13,,False
1.0,0.01,1.0,A,48,0.4901960784313725,-0.009803921568627527,0.00961168781237981,1.960784313725485e-05,9.80392156862743e-06,-2.168404344971009e-18,,False
1.0,0.01,1.0,A,64,0.49019607843137253,-0.009803921568627472,0.009611687812379853,1.9607843137254892e-05,9.803921568627451e-06,0.0,,False
1.0,0.01,1.0,B,1,0.4999509851975297,-4.90148024703263e-05,0.009802960494069209,9.900990099009901e-06,0.0,0.0,,False
1.0,0.01,1.0,B,2,0.4950132279424907,-0.004986772057509303,0.009706141724362568,1.4802470346044506e-05,4.950495049504951e-06,2.168404344971009e-19,,False
1.0,0.01,1.0,B,3,0.492577862020764,-0.007422137979236021,0.00965838945138753,1.7228945715863617e-05,7.401235173022253e-06,0.0,,False
1.0,0.01,1.0,B,4,0.4913744577469323,-0.00862554225306772,0.009634793289155535,1.8430171146467137e-05,8.614472857931809e-06,0.0,,False
1.0,0.01,1.0,B,6,0.49048473771421436,-0.009515262285785642,0.009617347798317927,1.9319226337238295e-05,9.512418600610676e-06,0.0,,False
1.0,0.01,1.0,B,8,0.4902668134601573,-0.009733186539842675,0.009613074773728572,1.9537110660042717e-05,9.73248176664314e-06,-2.168404344971009e-19,,False
1.0,0.01,1.0,B,12,0.4902003267230971,-0.009799673276902898,0.009611771112217591,1.960359485473507e-05,9.79963080328241e-06,0.0,,False
1.0,0.01,1.0,B,16,0.4901963335886558,-0.009803666411344225,0.00961169281546384,1.960758798000495e-05,9.803663859804994e-06,0.0,,False
1.0,0.01,1.0,B,24,0.4901960793518157,-0.009803920648184306,0.009611687830427764,1.960784221681178e-05,9.803920638979898e-06,2.168404344971009e-19,,False
1.0,0.01,1.0,B,32,0.4901960784346927,-0.009803921565307294,0.00961168781244496,1.9607843133934533e-05,9.80392156527388e-06,2.168404344971009e-19,,False
1.0,0.01,1.0,B,48,0.49019607843137253,-0.009803921568627472,0.009611687812379853,1.960784313725485e-05,9.803921568627407e-06,0.0,,False
1.0,0.01,1.0,B,64,0.49019607843137253,-0.009803921568627472,0.009611687812379853,1.9607843137254892e-05,9.803921568627451e-06,0.0,,False
1.0,0.01,1.0,A,49,0.49019607843137253,-0.009803921568627472,0.009611687812379827,1.9607843137254872e-05,9.80392156862744e-06,-1.3010426069826053e-18,31,True
1.0,0.01,1.0,B,44,0.4901960784313732,-0.009803921568626806,0.009611687812379865,1.9607843137254177e-05,9.803921568626723e-06,0.0,31,True
1.0,0.01,4.0,A,1,0.49112832075286733,-0.008871679247132669,0.0009802960494069205,9.900990099009901e-06,7.920792079207921e-06,-0.0007920792079207921,,False
1.0,0.01,4.0,A,2,0.4855623225976229,-0.014437677402377114,0.003148267706560153,1.774335849426527e-05,1.4194686795412215e-05,-0.0006273894716204295,,False
1.0,0.01,4.0,A,3,0.4820702739559638,-0.0179297260440362,0.005738485139967595,2.3955135441002194e-05,1.9164108352801755e-05,-0.000496942155738954,,False
1.0,0.01,4.0,A,4,0.47987939940380037,-0.020120600596199634,0.008337861151004424,2.8875354804754215e-05,2.3100283843803373e-05,-0.00039361754910016147,,False
1.0,0.01,4.0,A,6,0.4776425011045236,-0.02235749889547639,0.012859003040567628,3.585945208807244e-05,2.8687561670457955e-05,-0.00024695150615047876,,False
1.0,0.01,4.0,A,8,0.4767620186783758,-0.02323798132162419,0.01619354273407146,4.0241201192399136e-05,3.219296095391931e-05,-0.00015493477495961798,,False
1.0,0.01,4.0,A,12,0.47627902799721866,-0.023720972002781338,0.01999431027444919,4.4714997790952854e-05,3.5771998232762286e-05,-6.0985046389989885e-05,,False
1.0,0.01,4.0,A,16,0.47620419594472596,-0.02379580405527404,0.02160015103616603,4.647596264324821e-05,3.718077011459857e-05,-2.40047844917875e-05,,False
1.0,0.01,4.0,A,24,0.4761908055302202,-0.023809194469779804,0.022507380510269195,4.744194400556241e-05,3.7953555204449934e-05,-3.7191758831892074e-06,,False
1.0,0.01,4.0,A,32,0.4761904840962058,-0.02380951590379421,0.022649611625479543,4.759160811054774e-05,3.8073286488438203e-05,-5.762296784972117e-07,,False
1.0,0.01,4.0,A,48,0.47619047619503174,-0.023809523804968258,0.02267510965199164,4.7618388939559525e-05,3.809471115164762e-05,-1.383226925014136e-08,,False
1.0,0.01,4.0,A,64,0.47619047619047866,-0.023809523809521338,0.022675721902921216,4.7619031807588463e-05,3.809522544607077e-05,-3.3204064216023343e-10,,False
1.0,0.01,4.0,B,1,0.5146554259386334,0.014655425938633448,0.02450740123517302,9.900990099009901e-06,0.0,0.0,,False
1.0,0.01,4.0,B,2,0.5065347576356158,0.00653475763561584,0.024120702744553135,1.774335849426527e-05,7.920792079207921e-06,0.0,,False
1.0,0.01,4.0,B,3,0.500148378256796,0.00014837825679603345,0.023816589440799812,2.3955135441002194e-05,1.4194686795412215e-05,0.0,,False
